video_id,t_start,t_end,score
22_2,770.3,776.24,0.0019
22_2,728.44,773.85,0.0019
22_2,988.19,990.65,0.0018
22_2,878.94,885.34,0.0018
22_2,779.22,802.15,0.0017
22_2,1056.61,1062.11,0.0017
22_2,908.99,969.05,0.0015
22_2,1097.94,1103.45,0.0015
22_2,1142.99,1145.94,0.0015
22_2,1039.36,1051.54,0.0015
22_2,691.8,702.15,0.0015
22_2,977.13,980.31,0.0014
22_2,1157.91,1171.27,0.0014
22_2,676.01,686.16,0.0013
22_2,1109.05,1111.98,0.0013
22_2,1079.39,1081.64,0.0012
22_2,780.07,785.85,0.0012
22_2,992.19,995.06,0.0011
22_2,846.14,848.99,0.0011
22_2,614.46,619.04,0.0011
22_2,699.25,719.73,0.0011
22_2,868.79,874.24,0.001
22_2,1125.38,1146.34,0.001
4_35,659.33,665.03,0.9995
4_35,814.81,878.4,0.9985
4_35,890.36,906.02,0.9965
4_35,881.8,886.08,0.995
4_35,757.37,760.05,0.9923
4_35,725.64,731.88,0.991
4_35,746.14,755.22,0.9889
4_35,709.24,715.83,0.9868
4_35,762.0,765.93,0.9841
4_35,624.38,651.83,0.9817
4_35,838.66,841.87,0.9764
4_35,772.38,813.66,0.9704
4_35,686.08,705.12,0.9449
4_35,890.36,906.02,0.1346
4_35,814.75,878.41,0.1341
4_35,881.8,886.09,0.1336
4_35,725.64,731.88,0.1319
4_35,624.39,651.83,0.1317
4_35,757.37,760.05,0.1316
4_35,838.66,841.87,0.1286
4_35,716.26,726.2,0.0238
4_35,890.35,906.01,0.0179
4_35,814.76,878.44,0.0174
4_35,905.43,917.02,0.0132
4_35,931.52,934.07,0.0106
4_35,930.91,1012.55,0.01
4_35,694.4,771.2,0.0096
4_35,798.24,803.63,0.0066
4_35,970.94,983.46,0.0058
4_35,1051.46,1054.21,0.0057
4_35,765.08,775.83,0.0056
4_35,1156.09,1158.71,0.005
4_35,658.73,664.72,0.0044
4_35,1063.75,1103.94,0.0041
4_35,1039.21,1059.7,0.004
4_35,636.52,717.28,0.004
4_35,999.43,1010.61,0.0039
4_35,1122.67,1162.15,0.0037
4_35,680.06,683.04,0.0035
4_35,883.47,885.79,0.0035
4_35,915.21,918.13,0.0034
4_35,1089.02,1093.98,0.0032
4_35,843.64,864.57,0.0032
4_35,774.43,777.57,0.0032
4_35,1012.51,1015.17,0.0032
4_35,702.53,723.19,0.0031
4_35,954.92,960.89,0.003
4_35,1026.92,1033.51,0.0029
4_35,759.89,763.12,0.0029
4_35,962.31,974.29,0.0028
4_35,879.75,882.21,0.0027
4_35,741.83,745.1,0.0026
4_35,698.15,700.87,0.0025
4_35,837.93,842.65,0.0024
4_35,789.75,795.28,0.0023
4_35,720.18,726.0,0.0022
4_35,874.98,880.76,0.0022
4_35,631.05,633.94,0.0021
4_35,936.61,948.23,0.002
4_35,649.71,652.7,0.002
4_35,1022.35,1042.81,0.0019
4_35,885.34,891.48,0.0019
4_35,780.89,783.93,0.0018
4_35,1107.44,1128.33,0.0018
4_35,610.97,617.71,0.0017
4_35,1134.41,1140.08,0.0016
4_35,892.76,895.37,0.0015
4_35,751.18,753.79,0.0015
4_35,860.49,863.23,0.0014
4_35,734.58,737.54,0.0014
4_35,893.98,899.87,0.0013
4_35,689.13,701.57,0.0013
4_35,1124.24,1136.71,0.0013
4_35,620.54,660.55,0.0012
4_35,807.04,818.68,0.0012
4_35,720.15,723.09,0.0011
4_35,805.05,807.82,0.0011
4_35,670.14,672.99,0.0011
4_35,756.69,762.2,0.001
4_35,723.97,738.56,0.001
12_48,664.61,668.0,0.9955
12_48,714.65,771.93,0.9927
12_48,632.43,638.68,0.9853
12_48,677.01,680.45,0.9848
12_48,687.38,688.69,0.9716
12_48,619.26,620.7,0.9651
12_48,650.26,658.98,0.9644
12_48,621.77,624.04,0.9608
12_48,699.11,701.38,0.9552
12_48,714.61,771.92,0.1345
12_48,664.6,667.99,0.1331
12_48,677.01,680.45,0.1317
12_48,619.26,620.7,0.1298
12_48,868.8,880.4,0.0202
12_48,627.18,668.81,0.019
12_48,714.59,771.96,0.018
12_48,664.61,667.99,0.0178
12_48,677.01,680.45,0.0175
12_48,957.94,961.07,0.0145
12_48,769.35,771.83,0.0132
12_48,692.37,695.38,0.0114
12_48,913.23,925.79,0.01
12_48,796.79,840.75,0.0088
12_48,953.59,956.89,0.0086
12_48,714.55,737.03,0.0066
12_48,911.41,913.62,0.0065
12_48,907.74,910.88,0.0055
12_48,793.61,799.55,0.0049
12_48,768.28,777.38,0.0049
12_48,923.8,927.0,0.0048
12_48,985.3,990.33,0.0045
12_48,980.63,986.89,0.0042
12_48,888.97,894.54,0.0042
12_48,664.03,670.68,0.0041
12_48,864.62,867.44,0.0041
12_48,898.73,901.86,0.004
12_48,737.28,743.17,0.004
12_48,836.94,839.92,0.0036
12_48,674.03,681.1,0.0035
12_48,869.65,872.25,0.0034
12_48,765.43,768.52,0.0031
12_48,778.82,800.25,0.0029
12_48,826.45,832.87,0.0029
12_48,659.69,664.81,0.0028
12_48,818.43,820.99,0.0028
12_48,692.76,702.69,0.0028
12_48,733.03,738.63,0.0027
12_48,716.81,722.86,0.0027
12_48,629.75,709.67,0.0026
12_48,752.11,754.93,0.0026
12_48,995.93,998.67,0.0024
12_48,943.69,946.66,0.0024
12_48,704.31,710.07,0.0023
12_48,846.49,867.94,0.0022
12_48,879.84,890.81,0.0022
12_48,629.1,639.64,0.0022
12_48,800.31,805.95,0.0022
12_48,619.23,624.66,0.002
12_48,760.23,770.54,0.002
12_48,857.91,860.56,0.0019
12_48,740.7,743.04,0.0018
12_48,641.53,644.85,0.0017
12_48,962.22,983.26,0.0016
12_48,991.58,994.23,0.0016
12_48,644.16,646.81,0.0015
12_48,998.11,1000.99,0.0015
12_48,616.17,619.2,0.0015
12_48,1009.06,1015.08,0.0015
12_48,724.52,727.07,0.0014
12_48,657.01,666.85,0.0014
12_48,927.01,929.93,0.0013
12_48,777.25,861.2,0.0013
12_48,688.68,691.75,0.0013
12_48,741.02,772.6,0.0013
12_48,931.84,934.79,0.0013
12_48,684.89,705.94,0.0013
12_48,903.3,905.81,0.0012
12_48,862.32,865.59,0.0012
12_48,709.02,711.93,0.0011
12_48,610.77,618.12,0.0011
12_48,1005.18,1010.75,0.0011
12_48,638.1,643.92,0.0011
12_48,630.78,633.62,0.0011
12_48,776.74,782.77,0.0011
10_26,739.97,747.12,0.9985
10_26,752.55,754.69,0.9984
10_26,747.2,750.01,0.9982
10_26,705.63,725.14,0.9974
10_26,614.41,627.98,0.9974
10_26,653.95,666.24,0.9952
10_26,762.77,765.99,0.9931
10_26,750.4,752.0,0.9921
10_26,670.02,672.76,0.9893
10_26,642.97,653.51,0.9873
10_26,679.12,692.95,0.985
10_26,632.84,640.29,0.9793
10_26,728.61,734.29,0.9711
10_26,614.42,627.96,0.1354
10_26,653.97,666.25,0.1351
10_26,747.2,750.0,0.1349
10_26,750.4,752.0,0.1346
10_26,679.11,692.95,0.1338
10_26,705.62,725.15,0.1333
10_26,632.83,640.3,0.133
10_26,762.77,765.99,0.1323
10_26,739.97,747.13,0.1323
10_26,939.32,944.28,0.0303
10_26,896.01,899.09,0.0213
10_26,813.88,816.92,0.0207
10_26,1027.43,1030.42,0.0195
10_26,624.89,627.34,0.0185
10_26,739.97,747.13,0.0177
10_26,632.83,640.29,0.0175
10_26,614.41,627.97,0.0172
10_26,766.3,768.65,0.0161
10_26,842.0,844.42,0.0142
10_26,895.05,905.41,0.0139
10_26,920.7,931.19,0.0097
10_26,795.99,798.81,0.0089
10_26,857.57,859.94,0.0084
10_26,744.36,746.85,0.0068
10_26,740.96,743.89,0.0065
10_26,867.62,873.3,0.0061
10_26,819.19,825.43,0.0061
10_26,826.93,836.96,0.0061
10_26,837.46,847.6,0.0059
10_26,661.48,664.36,0.0058
10_26,773.25,813.07,0.0052
10_26,752.54,755.25,0.0051
10_26,933.06,938.05,0.005
10_26,683.94,706.17,0.0047
10_26,835.99,838.56,0.0044
10_26,881.3,883.85,0.0043
10_26,988.03,1008.63,0.0037
10_26,711.81,714.59,0.0037
10_26,803.84,809.03,0.0033
10_26,665.65,675.47,0.0032
10_26,960.88,963.26,0.0031
10_26,807.23,812.45,0.0029
10_26,860.81,863.91,0.0029
10_26,963.76,969.13,0.0028
10_26,885.5,891.78,0.0027
10_26,988.6,991.21,0.0025
10_26,697.61,736.64,0.0025
10_26,601.46,625.78,0.0024
10_26,734.16,736.84,0.0023
10_26,614.44,616.85,0.0023
10_26,645.49,651.64,0.0022
10_26,844.37,846.52,0.0022
10_26,1025.91,1049.37,0.0022
10_26,837.71,840.29,0.0022
10_26,940.64,943.27,0.0021
10_26,746.81,788.64,0.0021
10_26,891.39,894.27,0.0021
10_26,833.17,836.05,0.0021
10_26,851.29,872.42,0.002
10_26,756.5,762.41,0.0019
10_26,714.43,716.95,0.0018
10_26,944.71,947.59,0.0018
10_26,789.81,795.52,0.0018
10_26,816.34,818.86,0.0017
10_26,684.09,690.37,0.0017
10_26,748.39,753.53,0.0017
10_26,727.54,740.39,0.0016
10_26,699.29,702.22,0.0015
10_26,639.45,641.74,0.0015
10_26,703.66,706.46,0.0015
10_26,707.88,712.82,0.0015
10_26,947.83,950.8,0.0014
10_26,810.24,819.69,0.0014
10_26,927.09,929.82,0.0014
10_26,771.89,777.54,0.0013
10_26,667.24,672.96,0.0013
10_26,894.27,899.94,0.0013
10_26,631.71,668.04,0.0012
10_26,838.59,844.56,0.0012
10_26,864.43,867.77,0.0012
10_26,797.3,802.87,0.0012
10_26,937.18,940.26,0.0012
10_26,965.66,975.74,0.0012
10_26,950.72,953.18,0.0012
10_26,761.32,841.77,0.0011
10_26,986.69,988.83,0.0011
10_26,623.45,628.75,0.001
10_26,877.49,897.74,0.001
10_26,790.07,792.86,0.001
10_26,718.7,721.58,0.001
4_17,636.39,668.09,0.999
4_17,705.46,712.95,0.9975
4_17,937.33,991.61,0.9968
4_17,1001.65,1017.35,0.9967
4_17,783.34,786.85,0.9959
4_17,787.9,919.24,0.9957
4_17,921.04,930.27,0.9955
4_17,721.75,736.6,0.9947
4_17,993.62,998.9,0.9945
4_17,742.86,752.1,0.9942
4_17,753.42,758.7,0.9878
4_17,931.15,935.99,0.9871
4_17,619.7,630.67,0.984
4_17,761.34,769.69,0.9826
4_17,683.03,701.62,0.9738
4_17,636.39,668.08,0.135
4_17,705.47,712.94,0.1348
4_17,1001.64,1017.37,0.1348
4_17,742.85,752.1,0.1338
4_17,937.34,991.55,0.1327
4_17,705.46,712.95,0.0183
4_17,636.37,668.09,0.0182
4_17,1001.64,1017.37,0.018
4_17,937.31,991.61,0.018
4_17,667.23,673.01,0.0098
4_17,711.99,722.68,0.0084
4_17,784.9,786.98,0.0068
4_17,987.34,990.1,0.0063
4_17,660.36,666.3,0.0063
4_17,847.72,858.66,0.006
4_17,920.33,938.82,0.0053
4_17,1030.39,1036.85,0.0052
4_17,780.82,787.62,0.005
4_17,743.89,747.18,0.0049
4_17,856.37,858.98,0.0045
4_17,936.97,948.8,0.0041
4_17,730.6,737.02,0.0038
4_17,983.2,985.9,0.0032
4_17,795.97,817.08,0.0029
4_17,916.17,920.69,0.0027
4_17,1044.01,1055.46,0.0025
4_17,989.9,992.98,0.0024
4_17,687.73,698.65,0.0024
4_17,763.75,769.77,0.0024
4_17,770.06,790.7,0.0022
4_17,880.21,886.6,0.0022
4_17,1052.29,1131.12,0.0021
4_17,859.75,862.78,0.0021
4_17,867.31,877.96,0.0021
4_17,820.12,831.5,0.0019
4_17,1077.65,1082.93,0.0019
4_17,614.35,616.74,0.0019
4_17,1038.32,1043.75,0.0018
4_17,1125.17,1136.43,0.0017
4_17,819.65,822.25,0.0016
4_17,1073.98,1076.53,0.0016
4_17,701.01,703.94,0.0016
4_17,862.34,864.8,0.0015
4_17,919.56,929.72,0.0015
4_17,850.17,856.56,0.0014
4_17,1044.61,1050.6,0.0014
4_17,984.92,1001.85,0.0014
4_17,673.55,679.12,0.0013
4_17,638.47,641.41,0.0013
4_17,1009.33,1015.56,0.0013
4_17,679.84,682.3,0.0013
4_17,768.0,771.09,0.0012
4_17,636.67,639.06,0.0012
4_17,789.35,792.43,0.0012
4_17,799.08,805.1,0.0011
4_17,931.32,936.82,0.0011
4_17,1125.08,1127.86,0.0011
4_17,690.61,696.1,0.0011
4_17,723.71,729.38,0.0011
4_17,934.98,940.54,0.001
4_17,1002.75,1008.84,0.001
13_44,682.13,727.77,0.9992
13_44,944.0,1012.24,0.9976
13_44,661.33,680.8,0.996
13_44,751.21,822.31,0.9902
13_44,922.86,935.23,0.9902
13_44,834.24,839.02,0.9896
13_44,887.59,898.94,0.9885
13_44,869.59,877.12,0.9883
13_44,738.4,745.47,0.9702
13_44,909.82,913.65,0.9507
13_44,682.1,727.75,0.1345
13_44,834.24,839.02,0.1341
13_44,869.59,877.11,0.1335
13_44,943.99,1012.21,0.1332
13_44,922.86,935.23,0.1306
13_44,738.4,745.47,0.1306
13_44,682.09,727.73,0.0182
13_44,869.58,877.12,0.018
13_44,1086.39,1089.52,0.0109
13_44,961.72,964.61,0.0078
13_44,754.38,757.03,0.0064
13_44,677.73,688.54,0.006
13_44,870.09,872.81,0.0056
13_44,933.63,936.38,0.0049
13_44,1056.91,1059.61,0.0046
13_44,943.31,987.41,0.0045
13_44,886.58,898.39,0.0045
13_44,861.23,870.12,0.0045
13_44,910.08,912.88,0.0043
13_44,1068.37,1073.79,0.0041
13_44,814.5,817.53,0.0039
13_44,913.55,919.0,0.0036
13_44,1143.45,1155.72,0.0036
13_44,793.08,795.36,0.0035
13_44,1159.88,1162.47,0.0035
13_44,1005.28,1026.32,0.0034
13_44,709.5,720.15,0.0033
13_44,988.07,1008.5,0.0033
13_44,1147.04,1149.62,0.0031
13_44,648.51,661.49,0.003
13_44,877.15,888.97,0.0029
13_44,1098.65,1104.82,0.0028
13_44,915.14,937.84,0.0028
13_44,667.11,672.88,0.0028
13_44,714.18,717.21,0.0028
13_44,994.79,1000.16,0.0027
13_44,585.09,639.33,0.0024
13_44,758.89,764.08,0.0023
13_44,782.25,784.76,0.002
13_44,831.56,834.26,0.002
13_44,1131.98,1134.64,0.002
13_44,1027.38,1033.95,0.002
13_44,707.5,710.03,0.0019
13_44,821.87,833.92,0.0018
13_44,834.34,854.64,0.0018
13_44,951.01,961.42,0.0018
13_44,1109.51,1112.2,0.0018
13_44,903.74,906.32,0.0018
13_44,1006.07,1011.64,0.0017
13_44,852.78,855.78,0.0017
13_44,1143.52,1223.89,0.0016
13_44,876.75,949.41,0.0016
13_44,834.9,837.73,0.0015
13_44,725.51,728.38,0.0014
13_44,896.87,907.85,0.0014
13_44,1134.13,1136.9,0.0013
13_44,987.84,990.8,0.0012
13_44,931.71,942.37,0.0012
13_44,869.64,872.51,0.0012
13_44,1095.49,1098.65,0.0011
13_44,1080.62,1126.37,0.0011
13_44,615.04,626.81,0.0011
13_44,908.7,913.89,0.0011
13_44,766.21,768.92,0.001
12_17,638.4,647.53,0.9984
12_17,700.8,705.94,0.9964
12_17,622.97,625.11,0.9934
12_17,678.68,690.22,0.9931
12_17,719.5,733.08,0.9906
12_17,694.12,697.51,0.9894
12_17,626.68,634.11,0.9893
12_17,739.21,743.49,0.9854
12_17,655.53,661.92,0.9816
12_17,638.39,647.52,0.1352
12_17,700.8,705.94,0.1334
12_17,626.68,634.1,0.1334
12_17,719.5,733.07,0.1315
12_17,655.53,661.92,0.1314
12_17,694.12,697.51,0.1304
12_17,692.03,694.1,0.0219
12_17,664.84,670.93,0.0189
12_17,626.68,634.11,0.018
12_17,694.12,697.51,0.0177
12_17,841.83,847.71,0.0116
12_17,682.87,688.79,0.0093
12_17,859.96,872.38,0.0089
12_17,933.76,939.24,0.0083
12_17,614.97,626.79,0.007
12_17,991.99,998.23,0.0069
12_17,771.16,782.04,0.0053
12_17,661.62,667.09,0.005
12_17,825.92,831.48,0.005
12_17,631.71,633.95,0.0048
12_17,649.23,652.05,0.0047
12_17,620.51,623.1,0.0043
12_17,688.31,694.39,0.0042
12_17,653.18,655.66,0.0041
12_17,898.15,901.15,0.0038
12_17,879.81,891.41,0.0038
12_17,646.31,648.59,0.0034
12_17,792.66,795.57,0.0034
12_17,907.54,918.59,0.0034
12_17,799.94,821.5,0.0031
12_17,634.97,637.37,0.0031
12_17,956.69,979.83,0.0028
12_17,923.03,933.08,0.0027
12_17,646.7,655.89,0.0027
12_17,811.06,817.16,0.0024
12_17,697.44,700.26,0.0024
12_17,928.42,930.77,0.0024
12_17,740.48,743.23,0.0022
12_17,691.41,694.21,0.0021
12_17,984.68,990.69,0.002
12_17,674.52,677.08,0.002
12_17,877.45,882.97,0.0018
12_17,787.89,792.91,0.0017
12_17,717.15,719.71,0.0017
12_17,743.06,826.53,0.0015
12_17,633.96,639.81,0.0015
12_17,697.16,707.05,0.0014
12_17,979.23,1001.04,0.0014
12_17,894.07,897.01,0.0014
12_17,743.39,749.63,0.0013
12_17,830.98,833.69,0.0013
12_17,834.42,836.99,0.0013
12_17,715.16,736.74,0.0013
12_17,766.26,771.53,0.0012
12_17,897.97,982.04,0.0012
12_17,706.16,712.48,0.0012
12_17,859.35,862.22,0.0012
12_17,891.98,894.74,0.0012
12_17,966.11,968.74,0.0012
12_17,974.04,976.79,0.0011
12_17,815.95,819.28,0.0011
12_17,822.19,866.65,0.001
12_41,773.45,779.06,0.9989
12_41,719.14,743.3,0.9987
12_41,652.04,657.35,0.9905
12_41,803.51,807.75,0.9895
12_41,665.09,681.57,0.9886
12_41,817.17,825.07,0.9867
12_41,639.14,640.8,0.9846
12_41,750.69,758.43,0.9807
12_41,842.67,856.58,0.9498
12_41,719.11,743.35,0.1365
12_41,750.69,758.42,0.133
12_41,719.15,743.33,0.0185
12_41,685.22,722.4,0.0115
12_41,929.19,935.32,0.0096
12_41,742.75,752.75,0.0086
12_41,791.74,804.25,0.0084
12_41,1043.61,1049.26,0.0072
12_41,874.46,876.88,0.0066
12_41,881.42,884.14,0.0061
12_41,745.98,786.69,0.006
12_41,994.77,1000.19,0.0055
12_41,683.0,685.55,0.0045
12_41,1010.07,1054.73,0.0045
12_41,1006.42,1009.63,0.0042
12_41,779.17,781.58,0.004
12_41,745.53,764.88,0.0038
12_41,1049.37,1051.93,0.0033
12_41,642.76,648.05,0.0032
12_41,744.93,750.02,0.0032
12_41,828.23,833.7,0.0029
12_41,1065.97,1068.65,0.0029
12_41,723.59,735.79,0.0026
12_41,1001.34,1003.96,0.0024
12_41,1026.57,1032.03,0.0024
12_41,858.34,869.16,0.002
12_41,768.09,774.06,0.0019
12_41,1052.03,1057.79,0.0018
12_41,916.34,926.68,0.0018
12_41,681.7,687.39,0.0017
12_41,939.81,942.85,0.0017
12_41,650.66,670.77,0.0016
12_41,983.17,989.97,0.0015
12_41,1037.92,1044.47,0.0015
12_41,667.32,670.4,0.0015
12_41,801.86,812.34,0.0014
12_41,1019.85,1026.0,0.0014
12_41,712.1,715.23,0.0014
12_41,1033.52,1040.04,0.0014
12_41,839.05,841.96,0.0013
12_41,970.26,973.09,0.0013
12_41,650.98,657.37,0.0012
12_41,948.29,950.69,0.0012
12_41,914.94,937.18,0.0011
12_41,702.54,713.59,0.0011
12_41,828.56,840.07,0.0011
12_41,670.04,676.18,0.0011
12_41,640.94,652.15,0.0011
12_41,848.21,854.55,0.0011
12_41,758.41,768.84,0.001
12_41,729.45,732.09,0.001
12_41,918.68,921.47,0.001
7_1,853.89,864.04,0.9989
7_1,892.22,902.89,0.9982
7_1,654.36,670.97,0.9978
7_1,872.71,890.95,0.9974
7_1,615.67,633.74,0.9965
7_1,840.34,854.26,0.9956
7_1,817.39,833.65,0.9947
7_1,793.18,815.56,0.9946
7_1,637.35,652.17,0.9902
7_1,674.09,792.3,0.9809
7_1,865.29,872.16,0.9758
7_1,817.38,833.69,0.136
7_1,793.21,815.56,0.1354
7_1,872.72,890.94,0.1352
7_1,654.34,670.98,0.1351
7_1,840.34,854.25,0.135
7_1,853.89,864.03,0.1347
7_1,615.67,633.74,0.1345
7_1,865.29,872.16,0.1301
7_1,1095.99,1099.05,0.0239
7_1,817.37,833.66,0.0185
7_1,840.35,854.24,0.0181
7_1,1041.81,1053.63,0.0153
7_1,1000.32,1022.55,0.015
7_1,971.89,982.45,0.0109
7_1,706.5,712.11,0.0108
7_1,813.35,816.48,0.0087
7_1,1073.12,1079.14,0.0079
7_1,918.25,996.59,0.0054
7_1,672.63,683.98,0.005
7_1,824.92,832.92,0.005
7_1,760.49,766.58,0.0048
7_1,874.8,877.7,0.0048
7_1,793.63,796.79,0.0047
7_1,883.55,888.96,0.0045
7_1,929.7,949.13,0.0042
7_1,684.3,707.69,0.0037
7_1,1012.63,1015.14,0.0037
7_1,706.75,726.61,0.0035
7_1,765.92,769.08,0.0033
7_1,987.28,990.24,0.0032
7_1,1057.58,1063.3,0.003
7_1,614.39,616.93,0.003
7_1,657.41,669.43,0.0025
7_1,683.05,694.49,0.0024
7_1,1092.08,1099.03,0.0023
7_1,836.51,839.33,0.0021
7_1,876.97,889.46,0.0021
7_1,1042.8,1048.16,0.002
7_1,948.47,951.18,0.0019
7_1,1023.63,1029.17,0.0019
7_1,846.03,854.4,0.0019
7_1,935.21,946.67,0.0016
7_1,755.24,761.52,0.0015
7_1,794.41,806.24,0.0015
7_1,1116.45,1127.91,0.0015
7_1,744.04,749.7,0.0014
7_1,1051.93,1073.2,0.0014
7_1,1031.14,1033.9,0.0013
7_1,862.19,871.88,0.0013
7_1,833.42,839.41,0.0013
7_1,818.0,828.89,0.0013
7_1,960.58,972.18,0.0013
7_1,637.24,656.53,0.0012
7_1,686.78,729.08,0.0012
7_1,729.96,735.97,0.0012
7_1,1049.26,1052.05,0.0012
7_1,777.19,788.38,0.0011
7_1,1100.9,1107.18,0.0011
22_10,680.99,776.53,0.9996
22_10,791.1,796.29,0.9995
22_10,829.48,1059.84,0.9989
22_10,1078.14,1104.39,0.9983
22_10,814.86,824.73,0.9978
22_10,1060.66,1069.7,0.9942
22_10,784.42,791.09,0.9936
22_10,1166.22,1228.8,0.9883
22_10,1142.12,1155.0,0.9877
22_10,1110.16,1139.45,0.9719
22_10,644.12,672.7,0.9642
22_10,1063.96,1069.59,0.4572
22_10,1142.12,1154.99,0.1341
22_10,829.82,1059.98,0.1327
22_10,784.42,791.09,0.1318
22_10,1060.66,1069.69,0.0622
22_10,830.09,840.11,0.0192
22_10,1027.58,1053.31,0.0158
22_10,1154.44,1167.17,0.0111
22_10,767.43,777.14,0.0095
22_10,1144.47,1151.09,0.0088
22_10,681.13,692.81,0.006
22_10,1066.99,1069.34,0.0058
22_10,1164.65,1208.93,0.0056
22_10,621.61,676.99,0.0055
22_10,1052.95,1071.58,0.0052
22_10,970.91,982.58,0.005
22_10,875.66,886.87,0.0049
22_10,680.57,721.87,0.0048
22_10,904.1,989.75,0.0033
22_10,1110.84,1134.52,0.0031
22_10,624.02,627.15,0.003
22_10,793.05,796.2,0.0028
22_10,1170.89,1184.14,0.0028
22_10,886.27,897.54,0.0028
22_10,1196.66,1198.96,0.0027
22_10,785.23,788.33,0.0022
